show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,genre
s2357,Movie,Feel the Beat,Elissa Down,United States,2020-06-19,2020,TV-G,110 min,"Children & Family Movies, Comedies, Dramas",2020,6,Dramas
s2359,Movie,Lost Bullet,Guillaume Pierret,France,2020-06-19,2020,TV-MA,93 min,"Action & Adventure, Dramas, International Movies",2020,6,Action & Adventure
s2359,Movie,Lost Bullet,Guillaume Pierret,France,2020-06-19,2020,TV-MA,93 min,"Action & Adventure, Dramas, International Movies",2020,6,Dramas
s2359,Movie,Lost Bullet,Guillaume Pierret,France,2020-06-19,2020,TV-MA,93 min,"Action & Adventure, Dramas, International Movies",2020,6,International Movies
s2371,Movie,El límite infinito,Pablo Aulita,Not Given,2020-06-18,2020,TV-PG,48 min,"Documentaries, International Movies, Sports Movies",2020,6,Documentaries
s2371,Movie,El límite infinito,Pablo Aulita,Not Given,2020-06-18,2020,TV-PG,48 min,"Documentaries, International Movies, Sports Movies",2020,6,International Movies
s2371,Movie,El límite infinito,Pablo Aulita,Not Given,2020-06-18,2020,TV-PG,48 min,"Documentaries, International Movies, Sports Movies",2020,6,Sports Movies
s2361,Movie,One-Way to Tomorrow,Ozan Açıktan,Turkey,2020-06-19,2020,TV-MA,90 min,"Dramas, International Movies, Romantic Movies",2020,6,Dramas
s2361,Movie,One-Way to Tomorrow,Ozan Açıktan,Turkey,2020-06-19,2020,TV-MA,90 min,"Dramas, International Movies, Romantic Movies",2020,6,International Movies
s2361,Movie,One-Way to Tomorrow,Ozan Açıktan,Turkey,2020-06-19,2020,TV-MA,90 min,"Dramas, International Movies, Romantic Movies",2020,6,Romantic Movies
s2362,Movie,The Emigrant,Youssef Chahine,Egypt,2020-06-19,1994,TV-14,130 min,"Dramas, International Movies",2020,6,Dramas
s2362,Movie,The Emigrant,Youssef Chahine,Egypt,2020-06-19,1994,TV-14,130 min,"Dramas, International Movies",2020,6,International Movies
s2364,Movie,Wasp Network,Olivier Assayas,France,2020-06-19,2020,TV-MA,128 min,"Dramas, International Movies, Thrillers",2020,6,Dramas
s2364,Movie,Wasp Network,Olivier Assayas,France,2020-06-19,2020,TV-MA,128 min,"Dramas, International Movies, Thrillers",2020,6,International Movies
s2364,Movie,Wasp Network,Olivier Assayas,France,2020-06-19,2020,TV-MA,128 min,"Dramas, International Movies, Thrillers",2020,6,Thrillers
s2365,Movie,A Whisker Away,"Junichi Sato, Tomotaka Shibayama",Japan,2020-06-18,2020,TV-PG,104 min,"Anime Features, Children & Family Movies, International Movies",2020,6,Anime Features
